description,featureType,locationPrecision,locationType,TypesOfFeature,country,noOfFeaturesBuiltByHuman,natureFeatures,continent,eras,deltaAge,reprLat,reprLong,minDate,maxDate
1M scale point location,unknown,precise,representative,Construction,Unlocated,,,Europe,Classical Era,330,41.169722,9.282353,-30,300
"2,706 m asl. Location based on OpenStreetMap.","mountain,",precise,representative,Small comunities,Unlocated,,,Europe,Early Modern Era,400,42.3797057,8.9456884,1700,2100
Representative location based on OpenStreetMap.,"cave,sanctuary",precise,representative,Water Source,United Kingdom,1523,,Asia,Early Modern Era,400,20.55256235,75.7007459,1700,2100
Location based on OpenStreetMap,"temple-2,",precise,"representative,",Water Source,United Kingdom,1523,,Europe,Classical Era,630,41.4329867,14.6177482,-330,300
Location based on OpenStreetMap,settlement-modern,precise,associated_modern,Small comunities,United Kingdom,1523,,Europe,Modern Era ,99,46.8604,5.68273,2000,2099
Representative location based on OpenStreetMap.,theatre,precise,representative,Small comunities,Ireland,,,Europe,Classical Era,330,43.62489206,12.9859728,-30,300
Representative location of the Villa Borghese based on OpenStreetMap. The modern park corresponds approximately to the ancient grounds of the estate.,"estate,",precise,"representative,",Construction,Unlocated,,,Europe,Early Modern Era,400,41.9161304,12.4830916,1700,2100
,unknown,precise,representative,Big community ,United Kingdom,1523,,Europe,,0,37.70779632,28.72389084,,
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Cultural Construction,Iraq,412,,Not enough data,Classical Era,330,30.976726,50.142065,-30,300
Location based on OpenStreetMap way tracing the outline of the ancient mounds.,settlement,precise,representative,Small comunities,Unlocated,,,Not enough data,The Stone Age,2000,32.25265423,45.05449443,-4000,-2000
Point location,unknown,precise,representative,Construction,Unlocated,,,Not enough data,The Iron Age,1050,32.04884,45.406123,-750,300
Location based on OpenStreetMap,river,precise,representative,Small comunities,Unlocated,,,Not enough data,Modern Era ,99,34.92380288,43.71229749,2000,2099
Point location,unknown,precise,representative,Construction,Unlocated,,,Not enough data,Classical Era,1190,32.258698,45.135696,-550,640
Point location,unknown,precise,representative,Small comunities,Unlocated,,,Not enough data,Classical Era,670,32.003734,45.576248,-30,640
,unknown,rough,representative,Small comunities,Unlocated,,,Not enough data,Classical Era,630,30.5,49.5,-330,300
,unknown,rough,representative,Small comunities,Unlocated,,,Not enough data,Classical Era,340,32.5,48.5,300,640
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Small comunities,Italy,1523,,Not enough data,Classical Era,340,30.998195,49.432028,300,640
,unknown,unlocated,representative,Construction,Iraq,412,,Africa,Classical Era,670,,,-30,640
,unknown,unlocated,representative,Construction,Unlocated,,,Africa,Classical Era,630,,,-330,300
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,630,,,-330,300
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Small comunities,Italy,1523,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Construction,Unlocated,,,Africa,Classical Era,670,,,-30,640
,unknown,unlocated,representative,Construction,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Cultural construction,Greece,1523,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Construction,Greece,1523,,Africa,Classical Era,340,,,300,640
Candidate site for modern day location of Mons Graupius. BAtlas 9 lists the site as unlocated.,"mountain,",precise,representative,Small comunities,Unlocated,,,Europe,Early Modern Era,400,56.3497,-3.6437,1700,2100
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Artefacts,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Construction,France,1523,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Cultural construction,France,1523,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Construction,Luxembourg,1523,,Africa,Classical Era,670,,,-30,640
,unknown,unlocated,representative,Cultural Construction,France,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Cultural construction,France,1523,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Cultural construction,France,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Construction,Netherlands,1523,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Cultural construction,Unlocated,,,Africa,Classical Era,330,,,-30,300
Point location,unknown,precise,representative,Cultural Construction,France,1523,,Not enough data,Classical Era,670,28.897642,52.504716,-30,640
"Representative point location, site precision",settlement,precise,representative,Cultural Construction,Belgium,1523,,Not enough data,Classical Era,670,28.898091,52.539314,-30,640
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Cultural Construction,France,1523,,Not enough data,Classical Era,520,29.742525,52.83806,-550,-30
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Construction,France,1523,,Not enough data,Classical Era,220,29.188041,52.580341,-550,-330
Point location,unknown,precise,representative,Cultural Construction,Belgium,1523,,Not enough data,Classical Era,520,30.159804,52.50205,-550,-30
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Forests/Gardens,Germany,1523,,Not enough data,Classical Era,330,29.56797,52.653905,-30,300
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Big community ,France,1523,,Not enough data,Classical Era,850,29.275641,51.187805,-550,300
5M scale point location,unknown,precise,representative,Cultural Construction,Netherlands,1523,,Not enough data,Classical Era,970,28.934297,50.831335,-330,640
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Cultural Construction,France,1523,,Not enough data,Classical Era,970,28.922039,50.833092,-330,640
Point location,unknown,precise,representative,Forts,Germany,1523,,Not enough data,Classical Era,670,30.31731,50.907919,-30,640
Point location,unknown,precise,representative,Cultural Construction,Germany,1523,,Not enough data,Classical Era,300,30.351486,51.347925,-330,-30
,unknown,rough,representative,Cultural Construction,Germany,1523,,Not enough data,Classical Era,970,29.5,50.5,-330,640
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Complex Architecure,Unlocated,,,Not enough data,Classical Era,670,29.96008,52.915364,-30,640
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Cultural Construction,Belgium,1523,,Not enough data,Classical Era,520,29.928621,52.89269,-550,-30
Point location,unknown,precise,representative,Water Source,Germany,1523,,Not enough data,Classical Era,670,28.871164,52.066735,-30,640
Point location,unknown,precise,representative,Cultural Construction,France,1523,,Not enough data,Classical Era,670,28.838576,52.059874,-30,640
Point location,unknown,precise,representative,Cultural Construction,France,1523,,Not enough data,Classical Era,670,28.804273,52.072738,-30,640
Point location,unknown,precise,representative,Cultural Construction,Germany,1523,,Not enough data,Classical Era,670,28.788836,52.076168,-30,640
Point location,unknown,precise,representative,Cultural Construction,Germany,1523,,Not enough data,Classical Era,670,28.772542,52.056444,-30,640
location based on Google Earth.,"settlement-modern,",precise,"associated_modern,",Cultural Construction,France,1523,,Not enough data,Early Modern Era,400,28.843868,52.570802,1700,2100
"Representative point location, site precision",tomb,precise,representative,Small comunities,France,1523,,Asia,Classical Era,520,30.193889,53.167222,-550,-30
Representative location based on OpenStreetMap.,cave,precise,representative,Small comunities,Germany,1523,,Not enough data,Classical Era,300,29.8076618,51.6118028,250,550
,unknown,rough,representative,Small comunities,France,1523,,Not enough data,Classical Era,630,29.5,50.5,-330,300
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Small comunities,Unlocated,,,Not enough data,Classical Era,520,29.889197,52.654231,-550,-30
Point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Not enough data,Classical Era,670,30.063014,51.499016,-30,640
Representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Cultural Construction,Germany,1523,,Asia,Classical Era,850,30.191905,53.172723,-550,300
5M scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Small comunities,Germany,1523,,Not enough data,Classical Era,1190,29.937872,52.888525,-550,640
"Representative point location, site precision",settlement,precise,representative,Small comunities,France,1523,,Not enough data,Classical Era,1190,29.935945,52.88841,-550,640
5M scale point location,unknown,precise,representative,Small comunities,Germany,1523,,Not enough data,Classical Era,670,28.925093,50.835601,-30,640
Point location,unknown,precise,representative,Small comunities,Germany,1523,,Asia,Classical Era,520,29.97035,53.016334,-550,-30
Point location,unknown,precise,representative,Landform,Germany,1523,,Not enough data,Classical Era,520,30.183576,51.498066,-550,-30
"Representative point location, site precision",settlement,precise,representative,Small comunities,Netherlands,1523,,Not enough data,Classical Era,670,29.777778,51.570833,-30,640
,unknown,rough,representative,Small comunities,Germany,1523,,Not enough data,Classical Era,220,30.5,52.5,-550,-330
,unknown,unlocated,representative,Forts,Germany,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Small comunities,France,1523,,Africa,Classical Era,1190,,,-550,640
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Small comunities,France,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Construction,Unlocated,,,Africa,Classical Era,850,,,-550,300
,unknown,unlocated,representative,Construction,Germany,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Construction,France,1523,,Africa,Classical Era,220,,,-550,-330
,unknown,unlocated,representative,Construction,Unlocated,,,Africa,Classical Era,330,,,-30,300
Representative location based on OpenStreetMap.,"city-gate,",precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,330,40.7483501,14.4899262,-30,300
Location based on OpenStreetMap,"tomb,",precise,"representative,",Small comunities,Unlocated,,,Europe,The Stone Age,1000,52.8375208,-6.8810849,-4000,-3000
Representative ocation based on an OpenStreetMap node.,"monument,",precise,"representative,",Water Source,Unlocated,,,Europe,The Bronze Age,1000,51.415762,-1.8574727,-3000,-2000
,unknown,rough,representative,Forts,Unlocated,,,Asia,,0,35.5,53.5,,
Point location,unknown,precise,representative,Construction,Unlocated,,,Asia,Classical Era,630,37.07207,55.029346,-330,300
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Cultural Construction,Unlocated,,,Asia,Classical Era,1190,36.812802,54.419505,-550,640
Point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Asia,Classical Era,970,37.087259,54.41742,-330,640
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,220,,,-550,-330
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,1190,,,-550,640
Point location,unknown,precise,representative,Small comunities,Unlocated,,,Asia,Classical Era,670,37.920816,59.208975,-30,640
Point location,unknown,precise,representative,Small comunities,Unlocated,,,Asia,Classical Era,630,37.68314,59.057,-330,300
Point location,unknown,precise,representative,Artefacts,Unlocated,,,Asia,Classical Era,340,37.687511,62.054708,300,640
Point location,unknown,precise,representative,Cultural construction,Unlocated,,,Asia,Classical Era,670,37.573634,65.572855,-30,640
Point location,unknown,precise,representative,Construction,Unlocated,,,Asia,Classical Era,330,37.712459,61.921653,-30,300
,unknown,rough,representative,Water Source,Unlocated,,,Asia,Classical Era,1190,37.5,61.5,-550,640
,unknown,rough,representative,Cultural Construction,Unlocated,,,Asia,Classical Era,1190,37.5,62.5,-550,640
,unknown,rough,representative,Cultural Construction,Unlocated,,,Asia,Classical Era,970,37.5,66.5,-330,640
,unknown,rough,representative,Cultural Construction,Unlocated,,,Asia,Classical Era,330,37.5,66.5,-30,300
,unknown,rough,representative,Construction,Unlocated,,,Asia,Classical Era,330,37.5,66.5,-30,300
5M scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Asia,Classical Era,300,37.163626,69.411854,-330,-30
Point location,unknown,precise,representative,Forts,Unlocated,,,Asia,,0,36.710203,69.576872,,
Point location,unknown,precise,representative,Forts,Unlocated,,,Asia,,0,36.764313,68.61326,,
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Construction,Unlocated,,,Asia,Classical Era,220,36.953223,69.388518,-550,-330
Point location,unknown,precise,representative,Forts,Unlocated,,,Asia,,0,38.674609,68.944173,,
Point location,unknown,precise,representative,Military Camp,Unlocated,,,Asia,Classical Era,330,36.986448,68.09178,-30,300
Location of the modern associated settlement based on a node derived from OpenStreetMap.,settlement-modern,precise,associated_modern,Forts,Unlocated,,,Asia,Early Modern Era,400,38.5726257,68.3361142,1700,2100
Point location,unknown,precise,representative,Forts,Unlocated,,,Asia,,0,36.771591,69.412961,,
Point location,unknown,precise,representative,Forts,Unlocated,,,Asia,,0,37.566956,69.334622,,
Point location,unknown,precise,representative,Forts,Unlocated,,,Asia,,0,38.462811,67.447829,,
Point location,unknown,precise,representative,Forts,Unlocated,,,Asia,,0,35.99802,68.582048,,
Point location,unknown,precise,representative,Forts,Unlocated,,,Asia,Classical Era,300,37.380332,69.813601,-330,-30
Point location,unknown,precise,representative,Water Source,Unlocated,,,Asia,Classical Era,670,36.752605,67.655181,-30,640
Point location,unknown,precise,representative,Forts,Unlocated,,,Asia,,0,36.730455,69.462324,,
Point location,unknown,precise,representative,Forts,Unlocated,,,Asia,,0,37.647132,68.662922,,
5M scale point location,unknown,precise,representative,Construction,Unlocated,,,Asia,,0,37.789448,66.632013,,
,unknown,rough,representative,Forts,Unlocated,,,Asia,Classical Era,340,38.5,68.5,300,640
,unknown,rough,representative,Forts,Unlocated,,,Asia,Classical Era,340,38.5,68.5,300,640
,unknown,rough,representative,Forts,Unlocated,,,Europe,,0,37.5,32.5,,
,unknown,rough,representative,Forts,Unlocated,,,Europe,,0,42.5,27.5,,
,unknown,rough,representative,Forts,Unlocated,,,Europe,,0,47.5,-2.5,,
,unknown,rough,representative,Forts,Unlocated,,,Europe,,0,37.5,-7.5,,
,unknown,rough,representative,Forts,Unlocated,,,Europe,,0,37.5,2.5,,
,unknown,rough,representative,Forts,Unlocated,,,Europe,,0,42.5,22.5,,
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,,0,42.5,32.5,,
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,,0,37.5,32.5,,
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,,0,47.5,7.5,,
1M scale point location,unknown,precise,representative,Cultural construction,Unlocated,,,Europe,Classical Era,330,51.954289,5.709875,-30,300
"Representative point location, site precision",fort,precise,representative,Cultural construction,Unlocated,,,Europe,Classical Era,330,51.955057,5.702934,-30,300
1M scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,330,52.213626,8.827083,-30,300
,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,330,53.5,10.5,-30,300
1M scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,52.041938,4.321473,-30,300
1M scale point location,unknown,precise,representative,Big community ,Unlocated,,,Europe,Classical Era,670,53.286333,10.529762,-30,640
,unknown,rough,representative,Construction,Unlocated,,,Europe,Classical Era,330,55.5,8.5,-30,300
,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,52.5,6.5,-30,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,,0,47.5,2.5,,
,unknown,rough,representative,Forts,Unlocated,,,Europe,,0,47.5,7.5,,
,unknown,rough,representative,Forts,Unlocated,,,Europe,,0,37.5,7.5,,
,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,,0,47.5,12.5,,
,unknown,rough,representative,Forts,Unlocated,,,Europe,,0,42.5,12.5,,
,unknown,rough,representative,Construction,Unlocated,,,Africa,,0,32.5,12.5,,
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,,0,42.5,17.5,,
,unknown,rough,representative,Forts,Unlocated,,,Europe,,0,42.5,22.5,,
,unknown,rough,representative,Forts,Unlocated,,,Europe,,0,37.5,22.5,,
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,,0,37.5,27.5,,
,unknown,rough,representative,Construction,Unlocated,,,Europe,,0,37.5,27.5,,
,unknown,rough,representative,Cultural Construction,Unlocated,,,Africa,,0,32.5,27.5,,
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,,0,42.5,32.5,,
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,,0,42.5,32.5,,
,unknown,rough,representative,Forts,Unlocated,,,Europe,,0,37.5,37.5,,
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,,0,37.5,-7.5,,
Approximate location from the TAVO index,settlement,rough,representative,Forts,Unlocated,,,Not enough data,The Bronze Age,1350,32.5,44.5,-2950,-1600
Approximate location from the TAVO index,settlement,rough,representative,Forts,Unlocated,,,Europe,The Bronze Age,4000,37.5,42.5,-2000,2000
Approximate location from the TAVO index,settlement,rough,representative,Cultural Construction,Unlocated,,,Europe,Modern Era ,82,40.25,29.25,1918,2000
Approximate location from the TAVO index,settlement,rough,representative,Forts,Unlocated,,,Europe,Modern Era ,82,37.25,30.25,1918,2000
Approximate location from the TAVO index,settlement,rough,representative,Cultural Construction,Unlocated,,,Not enough data,Classical Era,340,34.5,43.5,300,640
Approximate location from the TAVO index,settlement,rough,representative,Forts,Unlocated,,,Europe,Modern Era ,82,40.75,30.25,1918,2000
Location based on OpenStreetMap,"amphitheatre,",precise,representative,Construction,Unlocated,,,Europe,Classical Era,330,48.8451662,2.3525032,-30,300
Location based on OpenStreetMap,cemetery,precise,representative,Forts,Unlocated,,,Africa,Classical Era,780,30.3239181,35.4480261,-140,640
Representative location of Ramat Raá¸¥el.,settlement,precise,representative,Cultural Construction,Unlocated,,,Africa,The Iron Age,3300,31.739992,35.218992,-1200,2100
Representative location based on OpenStreetMap,"tumulus,",precise,"representative,",Cultural Construction,Unlocated,,,Europe,The Stone Age,1000,46.3732742,-0.0674304,-4000,-3000
Representative location based on OpenStreetMap,"tumulus,",precise,"representative,",Forts,Unlocated,,,Europe,,0,46.3735528,-0.0652503,,
Representative location based on OpenStreetMap,"tumulus,",precise,"representative,",Forts,Unlocated,,,Europe,The Stone Age,1000,46.3734282,-0.0668798,-4000,-3000
Point representing the imagery location of the Tell Abu en-Ni'aj site.,settlement,precise,representative,Forts,Unlocated,,,Africa,The Stone Age,1300,32.438816,35.603282,-3300,-2000
Representative location based on OpenStreetMap,settlement,precise,representative,Cultural Construction,Unlocated,,,Africa,The Stone Age,2000,32.3357798,37.003862,-4000,-2000
Representative location based on OpenStreetMap.,"settlement,",precise,representative,Small comunities,Unlocated,,,Europe,The Bronze Age,1000,40.3339914,9.5380693,-2000,-1000
Representative location based on OpenStreetMap,"fort,settlement",precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,367,50.7869878,-3.2321806,43,410
Coordinates following GeoHack,amphitheatre,precise,representative,Forts,Unlocated,,,Europe,Classical Era,330,44.624,22.666,-30,300
Coordinates after Wikipedia; verified in Google Earth 2013.,"tomb,",precise,representative,Forts,Unlocated,,,Europe,Classical Era,1483,41.906,12.4764,-30,1453
Representative location based on OpenStreetMap.,city-wall,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,630,41.74114925,13.15899222,-330,300
Representative location based on OpenStreetMap.,sanctuary,precise,representative,Forts,Unlocated,,,Europe,The Iron Age,1050,42.01520783,11.96385374,-750,300
Location based on OpenStreetMap,temple-2,precise,representative,Cultural construction,Unlocated,,,Europe,The Iron Age,200,42.01506032,11.96379884,-750,-550
,unknown,unlocated,representative,Artefacts,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,300,,,-330,-30
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,,0,,,,
"Location of the remains of the church, specifically.","church,",precise,representative,Small comunities,Unlocated,,,Africa,,0,25.63017222,28.91679722,,
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,330,34.189094,37.607467,-30,300
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,670,35.684651,37.65125,-30,640
,unknown,rough,representative,Small comunities,Unlocated,,,Africa,Classical Era,970,35.75,36.25,-330,640
Location based on OpenStreetMap,"fort,",precise,"representative,",Construction,Unlocated,,,Africa,High Middle Ages,192,34.8566738,35.8571397,1099,1291
"Representative point location, site precision",settlement,precise,representative,Forts,Unlocated,,,Africa,Classical Era,970,34.531277,36.047047,-330,640
500K scale point location,unknown,precise,representative,Landform,Unlocated,,,Africa,Classical Era,970,34.960169,36.735111,-330,640
Location based on OpenStreetMap,settlement,precise,representative,Artefacts,Unlocated,,,Africa,The Bronze Age,3204,35.2833333,36.4,-2000,1204
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,340,34.653164,36.270961,300,640
Representative location based on OpenStreetMap,sanctuary,precise,representative,Forts,Unlocated,,,Africa,Classical Era,330,34.93047558,36.24526085,-30,300
"Representative point location, village precision",settlement,precise,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,670,35.15354,35.928176,-30,640
,unknown,rough,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,340,35.75,38.75,300,640
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,340,35.961304,35.991611,300,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,340,34.516197,35.980539,300,640
,unknown,rough,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,330,35.25,36.25,-30,300
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,340,34.275118,37.076564,300,640
"Representative point location, village precision",settlement,precise,representative,Landform,Unlocated,,,Africa,Classical Era,340,34.4098757,36.7550147,300,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,630,36.013563,36.408945,-330,300
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,340,35.615532,36.712808,300,640
500K scale point location,unknown,precise,representative,Water Source,Unlocated,,,Africa,Classical Era,670,34.778675,38.733046,-30,640
500K scale point location,unknown,precise,representative,Water Source,Unlocated,,,Africa,Classical Era,670,34.411139,37.620478,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,970,35.587233,35.737955,-330,640
500K scale point location,unknown,precise,representative,Cultural construction,Unlocated,,,Africa,Classical Era,340,35.296738,36.54053,300,640
500K scale point location,unknown,precise,representative,Cultural construction,Unlocated,,,Africa,Classical Era,330,34.402812,36.069423,-30,300
,unknown,rough,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,330,34.25,35.75,-30,300
,unknown,rough,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,630,34.25,36.25,-330,300
Representative location based on OpenStreetMap.,settlement,precise,representative,Small comunities,Unlocated,,,Africa,The Bronze Age,1014,34.55714987,36.51935573,-1344,-330
,unknown,rough,representative,Small comunities,Unlocated,,,Africa,Classical Era,630,34.75,36.25,-330,300
,unknown,rough,representative,Forts,Unlocated,,,Africa,Classical Era,330,35.25,36.25,-30,300
,unknown,rough,representative,Forts,Unlocated,,,Africa,Classical Era,330,35.25,36.25,-30,300
"Representative point location, village precision",settlement,precise,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,970,35.947807,39.023783,-330,640
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,670,35.124102,38.94342,-30,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Construction,Unlocated,,,Africa,Classical Era,970,34.510683,35.951102,-330,640
500K scale point location,unknown,precise,representative,Construction,Unlocated,,,Africa,Classical Era,670,34.422928,37.173068,-30,640
500K scale point location,unknown,precise,representative,Construction,Unlocated,,,Africa,Classical Era,670,35.270406,36.997142,-30,640
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,340,35.806646,36.891108,300,640
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,340,35.050807,37.057146,300,640
Representative location based on OpenStreetMap.,settlement,precise,representative,Forts,Unlocated,,,Africa,Classical Era,340,35.6715159,36.5844956,300,640
,unknown,rough,representative,Forts,Unlocated,,,Africa,Classical Era,630,35.75,38.25,-330,300
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,330,34.74988,38.130787,-30,300
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,340,35.67811,36.960743,300,640
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,330,35.137477,37.103175,-30,300
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,670,34.385516,38.082065,-30,640
Representative location based on OpenStreetMap.,monument,precise,representative,Forts,Unlocated,,,Africa,Classical Era,330,34.06620625,36.15432471,-30,300
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,340,35.978601,39.002571,300,640
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,330,35.273541,35.937724,-30,300
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,330,35.29433,36.412405,-30,300
,unknown,rough,representative,Forts,Unlocated,,,Africa,,0,35.75,38.75,,
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,970,,,-330,640
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,630,,,-330,300
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,220,,,-550,-330
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,670,33.627851,36.12432,-30,640
Representative location based on Tabula Imperii Romani.,"settlement,",precise,"representative,",Forts,Unlocated,,,Africa,Classical Era,670,33,35.7,-30,640
