,bbox,creators,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,featureTypeRef,connectsWith,geoContext,hasConnectionsWith,DeltaAge,featureTypeRef1
"Becker, J.","12.488517, 42.052019, 12.488517, 42.052019",jbecker,A fourth century AD tetrapylon arch at the intersection of the Via Flaminia and a road linking the Via Tiberina and Veii.,arch,"{""type"": ""Point"", ""coordinates"": [12.488517, 42.052019]}",arch-of-malborghetto,precise,representative,2100,300,42.052019,"42.052019,12.488517",12.488517,,LMM,"late-antique,mediaeval-byzantine,modern","300.0,2100.0",Imagery location of Arch of Malborghetto,arch,,NW Carnium,,1800,"arch,"
"Becker, J.","-0.6289841, 45.7459065, -0.6289841, 45.7459065",jbecker,Representative location based on OSM coordinates.,arch,"{""type"": ""Point"", ""coordinates"": [-0.6289841, 45.7459065]}",location-of-arch-of-germanicus,precise,representative,300,-30,45.7459065,"45.7459065,-0.6289841",-0.6289841,,R,roman,"-30.0,300.0",OSM location of Arch of Germanicus,arch,,S Colatio,,330,"arch,"
"Becker, J.","14.6174484, 41.4327702, 14.6174484, 41.4327702",jbecker,"An arch dedicated to Lucius Neratius Priscus, suffect consul of AD 97 and governor of Germania Inferior. Location based on OpenStreetMap","arch,","{""type"": ""Point"", ""coordinates"": [14.6174484, 41.4327702]}",location-of-arch-of-lucius-neratius-priscus,precise,representative,300,-30,41.4327702,"41.4327702,14.6174484",14.6174484,,R,roman,"-30.0,300.0",OSM location of arch of Lucius Neratius Priscus,arch,,W Splonum,,330,"arch,"
"Becker, J.","12.5568724, 42.6418517, 12.5568724, 42.6418517",jbecker,"An arch dedicated to Trajan on the Via Flaminia, also known as the Arco di San Damiano. Location based on OpenStreetMap.","arch,","{""type"": ""Point"", ""coordinates"": [12.5568724, 42.6418517]}",osm-location-of-arch-of-trajan,precise,representative,640,-30,42.6418517,"42.6418517,12.5568724",12.5568724,,RL,"roman,late-antique","-30.0,640.0",OSM location of Arch of Trajan,arch,,2,,670,"arch,"
"Becker, J.","13.5130616, 43.6245526, 13.5130616, 43.6245526",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [13.5130616, 43.6245526]}",osm-location-of-roman-amphitheater,precise,representative,300,-30,43.6245526,"43.6245526,13.5130616",13.5130616,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,S Leusaba,,330,"amphitheatre,"
"Becker, J.","1.4689962, 41.173443, 1.4689962, 41.173443",jbecker,Location based on OpenStreetMap,"arch,","{""type"": ""Point"", ""coordinates"": [1.4689962, 41.173443]}",location-of-arc-de-bera,precise,representative,300,-30,41.173443,"41.173443,1.4689962",1.4689962,,R,roman,"-30.0,300.0",location of Arc de BerÃ ,arch,,6,,330,"arch,"
"Bruno, S., D. Feiges, J. Becker, T. Landvatter","33.632926, 34.9202914, 33.632926, 34.9202914","Sophia Bruno, Duncan Feiges",Representative location based on OpenStreetMap,architecturalcomplex,"{""type"": ""Point"", ""coordinates"": [33.632926, 34.9202914]}",osm-location-of-ancient-military-port-of-kition,precise,representative,-330,-550,34.9202914,"34.9202914,33.632926",33.632926,,C,classical,"-550.0,-330.0",OSM location of Ancient Military Port of Kition,architecturalcomplex,,"Dalmatia, area of NikÅ¡iÄ‡ YUG",,220,"architecturalcomplex,"
"Becker, J.","12.6734288, 42.9992424, 12.6951427, 43.0060345",jbecker,Location based on OpenStreetMap,aqueduct,"{""type"": ""Polygon"", ""coordinates"": [[[12.6734288, 42.9992424], [12.6742146, 42.9997372], [12.6752875, 43.000365], [12.6798043, 43.0029621], [12.6802172, 43.0031176], [12.6834008, 43.0042017], [12.6891503, 43.0060054], [12.6893531, 43.0060345], [12.6895496, 43.0060034], [12.6951427, 43.0048183], [12.6948258, 43.0046777], [12.6945995, 43.0045926], [12.6734288, 42.9992424]]]}",osm-location-of-acquedotto-romano,precise,representative,300,-30,43.00348831,"43.0034883122,12.6841921965",12.6841922,,R,roman,"-30.0,300.0",OSM location of Acquedotto romano,aqueduct,,on road Savaria-Aquincum HUN,,330,"aqueduct,"
"Vitale, V., J. Becker","20.0622369, 32.1244806, 20.0622369, 32.1244806",vvitale,"Representative OpenStreetMap location of the so-called ""Area L"", in the archaeological site of Sidi Khiribech, in Berenike (modern Benghazi).","architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [20.0622369, 32.1244806]}",area-l-in-sidi-khiribech,precise,representative,640,-330,32.1244806,"32.1244806,20.0622369",20.0622369,,HL,"hellenistic-roman-early-empire,late-antique","-330.0,640.0",OSM location of Area L in Sidi Khiribech (Berenike),architecturalcomplex,,between Dinaric watershed and Sava fl.,,970,"architecturalcomplex,"
"Diffendale, D.","23.138532, 38.366312, 23.138532, 38.366312",diffenda,Approximate center point of agora of Onchestos sanctuary visible in satellite imagery.,"architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [23.138532, 38.366312]}",bouleuterion,precise,central_point,-30,-550,38.366312,"38.366312,23.138532",23.138532,,CH,"classical,hellenistic-republican","-550.0,-30.0",Agora,architecturalcomplex,,"Bogaczewo-Kula, formerly Bogatzewen-KullabrÃ¼cke POL",,520,"architecturalcomplex,"
"Becker, J.","12.6662021, 42.9957909, 12.6662021, 42.9957909",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [12.6662021, 42.9957909]}",location-of-roman-amphitheater,precise,representative,300,-30,42.9957909,"42.9957909,12.6662021",12.6662021,amphitheater,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,"Botes, SWE",,330,"amphitheatre,"
"Becker, J.","20.9458759, 32.708316, 20.9458759, 32.708316",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [20.9458759, 32.708316]}",osm-location-of-roman-amphitheater,precise,representative,300,-30,32.708316,"32.708316,20.9458759",20.9458759,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,"84,520,469",English Channel,"10,932,069,465,695,200,000,000,000,000,000,000,000,000,000,000",330,"amphitheatre,"
"Becker, J.","3.2140125, 43.3396031, 3.2140125, 43.3396031",jbecker,Representative location based on OpenStreetMap.,amphitheatre,"{""type"": ""Point"", ""coordinates"": [3.2140125, 43.3396031]}",location-of-roman-amphitheater,precise,representative,300,-30,43.3396031,"43.3396031,3.2140125",3.2140125,,R,roman,"-30.0,300.0",OSM location of AmphithÃ©Ã¢tre romain,amphitheatre,,"Byrsted, DEN",,330,"amphitheatre,"
"Mckee, G.","32.6088898, 25.73294, 32.6088898, 25.73294",gmckee,"Point representing the entrance to TT65/the Monastery of Cyriacus, derived from an OpenStreetMap node after Kampp 1996.",abbey,"{""type"": ""Point"", ""coordinates"": [32.6088898, 25.73294]}",tt65-nebamun-imiseba-monastery-of-cyriacus,precise,representative,640,-1548,25.73294,"25.73294,32.6088898",32.6088898,,NL,"new-kingdom-egypt,late-antique","-1548.0,640.0",OSM location of TT65 Nebamun/Imiseba/Monastery of Cyriacus,abbey,,DEN/SWE,,2188,"abbey,"
"Luc PIROUX, J., J. Becker, S. Gillies","1.2438, 41.146, 1.2438, 41.146",jlpiroux,coordinates after GeoHack.,"aqueduct,","{""type"": ""Point"", ""coordinates"": [1.2438, 41.146]}",location-of-pont-del-diable-aqueduct,precise,representative,640,-30,41.146,"41.146,1.2438",1.2438,,RL,"roman,late-antique","-30.0,640.0",Location of Pont del Diable aqueduct,aqueduct,,Partskhanakanevi,,670,"aqueduct,"
"Ã…hlfeldt, J.","2.6894543, 41.6275068, 2.6894543, 41.6275068",jahlfeldt,"Representative point location, village precision",aqueduct,"{""type"": ""Point"", ""coordinates"": [2.6894543, 41.6275068]}",dare-location,precise,representative,640,-30,41.6275068,"41.6275068,2.6894543",2.6894543,,RL,"roman,late-antique","-30.0,640.0",DARE Location,aqueduct,,Qanchaeti,,670,"aqueduct,"
"Becker, J.","18.3037069, 43.8273017, 18.3037069, 43.8273017",jbecker,A courtyard building that may have served as the administrative center for the spa. Location based on OpenStreetMap.,"architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [18.3037069, 43.8273017]}",location-of-courtyard-building,precise,representative,640,-30,43.8273017,"43.8273017,18.3037069",18.3037069,,RL,"roman,late-antique","-30.0,640.0",location of courtyard building,architecturalcomplex,,Barrington Atlas grid 94 Unlocated,,670,"architecturalcomplex,"
"Becker, J.","14.3669959, 46.6978777, 14.3669959, 46.6978777",jbecker,coordinates after OSM; verified in Google Earth 2013.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [14.3669959, 46.6978777]}",location-of-roman-amphitheater,precise,representative,300,-30,46.6978777,"46.6978777,14.3669959",14.3669959,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,"Kumtepe, TAJ",,330,"amphitheatre,"
"Mckee, G.","43.259132, 35.458408, 43.2607465, 35.4596779",gmckee,"Polygon representing the foundation of the Old Palace at Assur, derived from an OpenStreetMap Way.",architecturalcomplex,"{""type"": ""Polygon"", ""coordinates"": [[[43.2597605, 35.458408], [43.2594647, 35.4587945], [43.259132, 35.4593065], [43.2602042, 35.4596779], [43.2607465, 35.4587644], [43.2597605, 35.458408]]]}",old-palace,precise,representative,-540,-2000,35.45904521,"35.4590452147,43.2599486915",43.25994869,,OLENN,"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east,neo-assyrian-babylonian-middle-east","-2000.0,-540.0",OSM location of Old Palace,architecturalcomplex,,Amsareddi,,1460,"architecturalcomplex,"
"Chen, A., T. Elliott","40.7285422682, 34.7497870723, 40.7288883004, 34.7500251508",achen,,amphitheatre,"{""type"": ""Polygon"", ""coordinates"": [[[40.72870859956109, 34.74978707225535], [40.72866881685162, 34.74979239776689], [40.728648932420825, 34.74979591697411], [40.72862677378099, 34.74980143403567], [40.72860910191338, 34.749808384105414], [40.7285928630414, 34.74982014659802], [40.728569070808575, 34.74984162777524], [40.7285430243027, 34.74988987176867], [40.72854226815992, 34.74991048742108], [40.728549108484906, 34.7499446707008], [40.72855412229447, 34.749953570797985], [40.72856216366222, 34.74996412298646], [40.72857775802131, 34.749980662999064], [40.72859377285436, 34.74999274295573], [40.72861017604881, 34.75000249117421], [40.72863689751773, 34.75001201173925], [40.728646109178705, 34.75001462460738], [40.728658995971244, 34.750018279917356], [40.728668638836055, 34.75002069313621], [40.72868114373624, 34.75002326366421], [40.72869078209882, 34.75002498758401], [40.728705958696175, 34.750025150778235], [40.72874959858629, 34.750022811612546], [40.72877063585654, 34.75002093800465], [40.72878460266785, 34.75001768024777], [40.72880676907203, 34.750010059799514], [40.728842849952485, 34.74999096409183], [40.72885826427293, 34.74997687911887], [40.72887044105797, 34.749960811346504], [40.7288811113939, 34.74994291742228], [40.72888379422057, 34.74992856557695], [40.72888830042878, 34.74990362670126], [40.72888640749936, 34.749892996240064], [40.7288804067161, 34.749874480696064], [40.72887378848934, 34.74985726325966], [40.72886564981812, 34.74984518870834], [40.72885859872302, 34.749837561576946], [40.728840928700116, 34.749819482463586], [40.72882913831636, 34.74981406875924], [40.728806354612225, 34.74980636772346], [40.728766608108714, 34.749794038712196], [40.72872891836111, 34.749787622267306], [40.72870859956109, 34.74978707225535]]]}",plan-location,precise,representative,299,200,34.74990672,"34.7499067195,40.7287154711",40.72871547,,T,third-ce,"200.0,299.0",Plan Location of Amphitheater of Dura-Europos,amphitheatre,,Werkel III,,99,"amphitheatre,"
"Becker, J.","14.2494471, 41.0866016, 14.2494471, 41.0866016",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [14.2494471, 41.0866016]}",osm-location-of-roman-amphitheater,precise,representative,300,-30,41.0866016,"41.0866016,14.2494471",14.2494471,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,Wessling,,330,"amphitheatre,"
"Mckee, G.","40.9957354, 37.0566503, 40.9965057, 37.0572798",gmckee,"Polygon representing the walls of the Palace of Tupkish, derived from an OpenStreetMap Way after Buccellati 2016.",architecturalcomplex,"{""type"": ""Polygon"", ""coordinates"": [[[40.9964009, 37.0566503], [40.9960743, 37.0567241], [40.9959203, 37.0568052], [40.9957354, 37.0569282], [40.9958001, 37.0572798], [40.9962438, 37.0572036], [40.9965057, 37.0569651], [40.9964009, 37.0566503]]]}",palace-of-tupkish,precise,representative,-1600,-2335,37.05696518,"37.0569651787,40.9961086753",40.99610868,,AO,"akkadian-ur-iii-mesopotamia,old-babylonian-assyrian-mesopotamia","-2335.0,-1600.0",OSM location of the Palace of Tupkish,architecturalcomplex,,"Zliv, CZE",,735,"architecturalcomplex,"
"Becker, J.","14.1203387, 40.8256904, 14.1203387, 40.8256904",jbecker,Representative location based on OpenStreetMap.,"architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [14.1203387, 40.8256904]}",osm-location-of-macellum,precise,representative,300,-30,40.8256904,"40.8256904,14.1203387",14.1203387,,R,roman,"-30.0,300.0",OSM location of macellum,architecturalcomplex,,Zunsweier,,330,"architecturalcomplex,"
"Becker, J.","4.0876321, 40.0698758, 4.0876321, 40.0698758",jbecker,Representative location based on OpenStreetMap.,architecturalcomplex,"{""type"": ""Point"", ""coordinates"": [4.0876321, 40.0698758]}",osm-location,precise,representative,640,300,40.0698758,"40.0698758,4.0876321",4.0876321,,L,late-antique,"300.0,640.0","OSM location of Ecclesiastical complex (Port of Sanitja, 6th century AD)",architecturalcomplex,,in bog N Gernsheim,,340,"architecturalcomplex,"
"Becker, J.","12.868149, 42.2283927, 12.868149, 42.2283927",jbecker,Representative location based on OpenStreetMap.,amphitheatre,"{""type"": ""Point"", ""coordinates"": [12.868149, 42.2283927]}",location-of-roman-amphitheater,precise,representative,300,-30,42.2283927,"42.2283927,12.868149",12.868149,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,along Rhenus fl.,,330,"amphitheatre,"
"Becker, J., R. Horne","10.314578, 36.8562215, 10.314578, 36.8562215",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [10.314578, 36.8562215]}",location-of-roman-amphitheater,precise,representative,640,-30,36.8562215,"36.8562215,10.314578",10.314578,,R,roman-early-empire-late-antique,"-30.0,640.0",OSM location of Roman amphitheater,amphitheatre,,area around *Vicus Aurelianus,,670,"amphitheatre,"
"Becker, J.","6.7283212, 43.4347293, 6.7283212, 43.4347293",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [6.7283212, 43.4347293]}",osm-location-of-roman-amphitheater,precise,representative,300,-30,43.4347293,"43.4347293,6.7283212",6.7283212,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,N. Alba M.,,330,"amphitheatre,"
"Becker, J.","21.8818744, 37.2663674, 21.8833296, 37.267834",jbecker,Representative location based on OpenStreetMap,acropolis,"{""type"": ""Polygon"", ""coordinates"": [[[21.8827666, 37.2663674], [21.8822621, 37.2664013], [21.8818744, 37.2665957], [21.8821347, 37.2674663], [21.8824639, 37.267834], [21.8828888, 37.2678044], [21.8833137, 37.2674114], [21.8833296, 37.2670775], [21.8827666, 37.2663674]]]}",osm-location-of-acropolis-of-malthes,precise,representative,-1000,-2000,37.26707657,"37.2670765682,21.8826014228",21.88260142,,2,2nd-millenium-bce,"-2000.0,-1000.0",OSM location of Acropolis of Malthes,acropolis,,NÃ¶rdlingen? Oberdorf?,,1000,"acropolis,"
"Varveri, A., J. Becker","14.4841869, 40.7507464, 14.4841869, 40.7507464",avarveri,Location based on OpenStreetMap,"arch,","{""type"": ""Point"", ""coordinates"": [14.4841869, 40.7507464]}",arco-onorario,precise,representative,300,-30,40.7507464,"40.7507464,14.4841869",14.4841869,,R,roman,"-30.0,300.0","OSM location of so-called ""Arco Onorario""",arch,,"BranÄ, SVK",,330,"arch,"
"Becker, J.","14.4884573, 40.7528446, 14.4884573, 40.7528446",jbecker,Representative location based on OpenStreetMap,architecturalcomplex,"{""type"": ""Point"", ""coordinates"": [14.4884573, 40.7528446]}",osm-location-of-caserma-dei-gladiatori,precise,representative,300,-30,40.7528446,"40.7528446,14.4884573",14.4884573,,R,roman,"-30.0,300.0",OSM location of Caserma dei Gladiatori,architecturalcomplex,,POL/UKR,,330,"architecturalcomplex,"
"Becker, J.","12.8192165, 41.8584397, 12.8192165, 41.8584397",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [12.8192165, 41.8584397]}",location-of-roman-amphitheater,precise,representative,300,-30,41.8584397,"41.8584397,12.8192165",12.8192165,,R,roman,"-30.0,300.0","OSM location of so-called ""Il Tondo""",amphitheatre,,"CÃ­fer-PÃ¡c, SVK",,330,"amphitheatre,"
"Varveri, A., J. Becker","14.4897455, 40.7486364, 14.4897455, 40.7486364",avarveri,Representative location based on OpenStreetMap,architecturalcomplex,"{""type"": ""Point"", ""coordinates"": [14.4897455, 40.7486364]}",hospitium-di-hermes,precise,representative,300,-30,40.7486364,"40.7486364,14.4897455",14.4897455,,R,roman,"-30.0,300.0",OSM location of so-called Hospitium di Hermes,architecturalcomplex,,either Eguilaz (AlcaÃ±iz) or Galarreta,,330,"architecturalcomplex,"
"Becker, J.","12.7428814, 42.7335312, 12.7428814, 42.7335312",jbecker,Representative location based on OpenStreetMap.,aqueduct,"{""type"": ""Point"", ""coordinates"": [12.7428814, 42.7335312]}",location-of-ponte-delle-torri,precise,representative,1453,640,42.7335312,"42.7335312,12.7428814",12.7428814,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Ponte delle Torri,aqueduct,,"Pui, ROM",,813,"aqueduct,"
"Becker, J.","2.3525032, 48.8451662, 2.3525032, 48.8451662",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [2.3525032, 48.8451662]}",location-of-arenes-de-lutece,precise,representative,300,-30,48.8451662,"48.8451662,2.3525032",2.3525032,,R,roman,"-30.0,300.0",location of ArÃ¨nes de LutÃ¨ce,amphitheatre,,"RÄƒcari, ROM",,330,"amphitheatre,"
"Mckee, G.","44.8900723, 40.8015368, 44.891213, 40.8021581",gmckee,"Polygon representing the location of the Haghartsin Monastery complex, derived from an OpenStreetMap Way.","abbey,architecturalcomplex","{""type"": ""Polygon"", ""coordinates"": [[[44.8909897, 40.8015368], [44.8907992, 40.8015408], [44.8907, 40.8015632], [44.8901501, 40.8017581], [44.8900911, 40.8018048], [44.8900723, 40.8018413], [44.890075, 40.8019246], [44.8901179, 40.8020768], [44.8901394, 40.8021134], [44.8902031, 40.8021497], [44.8902976, 40.8021581], [44.8903996, 40.8021581], [44.8905256, 40.802152], [44.8906141, 40.8021357], [44.8909414, 40.8020606], [44.890995, 40.8020403], [44.8910862, 40.8019977], [44.8911291, 40.8019692], [44.891195, 40.8019229], [44.891213, 40.8018715], [44.8912123, 40.8018068], [44.8911881, 40.8017154], [44.8911479, 40.8016403], [44.8910889, 40.8015693], [44.8910165, 40.8015429], [44.8909897, 40.8015368]]]}",54056157256158056e56b576-57e56157656156f561576,precise,representative,2100,600,40.80186554,"40.8018655359,44.8906450022",44.890645,,POM,"persian-medieval-caucasus,ottoman-empire-2,modern","600.0,2100.0",OSM location of Õ€Õ¡Õ²Õ¡Ö€Õ®Õ«Õ¶ Õ¾Õ¡Õ¶Õ¡Õ¯Õ¡Õ¶ Õ°Õ¡Õ´Õ¡Õ¬Õ«Ö€,"abbey,architecturalcomplex",,"RepiÅ¡te, YUG",,1500,"abbey,architecturalcomplex,"
"Becker, J.","22.666, 44.624, 22.666, 44.624",jbecker,Coordinates following GeoHack,amphitheatre,"{""type"": ""Point"", ""coordinates"": [22.666, 44.624]}",imagery-location,precise,representative,300,-30,44.624,"44.624,22.666",22.666,,R,roman,"-30.0,300.0",Imagery location,amphitheatre,,"Rudna Glava, YUG",,330,"amphitheatre,"
"Becker, J.","9.1807081, 45.4652723, 9.1807081, 45.4652723",jbecker,Location based on OpenStreetMap,"architecturalcomplex,villa,","{""type"": ""Point"", ""coordinates"": [9.1807081, 45.4652723]}",location-of-villa-imperiale,precise,representative,640,300,45.4652723,"45.4652723,9.1807081",9.1807081,,L,late-antique,"300.0,640.0",OSM location of Villa Imperiale,"architecturalcomplex,villa",,"Aqueduc des Viviers, SE Aquae Neri",,340,"architecturalcomplex,villa,"
"Becker, J.","14.7670823, 41.1321789, 14.7676229, 41.1325965",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Polygon"", ""coordinates"": [[[14.767175, 41.1321789], [14.7670823, 41.1324553], [14.7672362, 41.1325965], [14.7676209, 41.1325831], [14.7676222, 41.1323754], [14.7676229, 41.1322473], [14.767175, 41.1321789]]]}",osm-location-of-anfiteatro-romano-di-benevento,precise,representative,300,-30,41.13242488,"41.132424877,14.7673933042",14.7673933,,R,roman,"-30.0,300.0",OSM location of Anfiteatro romano di Benevento,amphitheatre,,Aquae Calidae,,330,"amphitheatre,"
"Ã…hlfeldt, J., J. Becker, S. Gillies","-0.729046, 46.141902, -0.729046, 46.141902",jahlfeldt,"Representative point location, site precision",amphitheatre,"{""type"": ""Point"", ""coordinates"": [-0.729046, 46.141902]}",dare-location,precise,representative,640,-30,46.141902,"46.141902,-0.729046",-0.729046,,RL,"roman,late-antique","-30.0,640.0",DARE Location,amphitheatre,,Montelibretti,,670,"amphitheatre,"
"Becker, J., A. Reyes, J. Pullen, D. Candelo, K. Smidt, O. Lewman","21.6680789, 38.5599063, 21.6681755, 38.5600804","jbecker, Angelo Reyes, jpullen",Location based on OpenStreetMap,"architecturalcomplex,","{""type"": ""Polygon"", ""coordinates"": [[[21.6680789, 38.5599063], [21.6681098, 38.56003], [21.6681259, 38.5600563], [21.668142, 38.5600688], [21.6681581, 38.5600804], [21.6681728, 38.5600762], [21.6681755, 38.5600531], [21.6681755, 38.5600196], [21.6681487, 38.5599336], [21.6680789, 38.5599063]]]}",osm-location-of-megaron-a,precise,representative,-1200,-1600,38.56000509,"38.5600050889,21.6681342776",21.66813428,,L,late-helladic,"-1600.0,-1200.0",OSM location of Megaron A,architecturalcomplex,403181,Ponte a Buriano,,400,"architecturalcomplex,"
"Becker, J.","12.501361, 41.895779, 12.501361, 41.895779",jbecker,verified in Google Earth 2013.,"arch,","{""type"": ""Point"", ""coordinates"": [12.501361, 41.895779]}",location-of-arch-of-gallienus,precise,representative,640,-30,41.895779,"41.895779,12.501361",12.501361,,RL,"roman,late-antique","-30.0,640.0",location of Arch of Gallienus,arch,,road station and Mausoleo di Gallieno (Via Appia),,670,"arch,"
"Becker, J.","-0.6433512, 45.7453926, -0.6433512, 45.7453926",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [-0.6433512, 45.7453926]}",osm-location-of-gallo-roman-amphitheater,precise,representative,300,-30,45.7453926,"45.7453926,-0.6433512",-0.6433512,,R,roman,"-30.0,300.0",OSM location of Gallo-Roman amphitheater,amphitheatre,74935822,S. Cesareo,,330,"amphitheatre,"
"Becker, J.","4.831144, 43.776529, 4.831144, 43.776529",jbecker,A Roman triumphal arch built in the early first century AD. Location based on OpenStreetMap,"arch,","{""type"": ""Point"", ""coordinates"": [4.831144, 43.776529]}",osm-location-of-the-triumphal-arch-of-glanum,precise,representative,300,-30,43.776529,"43.776529,4.831144",4.831144,,R,roman,"-30.0,300.0",OSM location of the Triumphal Arch of Glanum,arch,,Colle Ripoli-Monte S. Angelo,422821,330,"arch,"
"Becker, J.","12.9872573, 43.6250624, 12.9872573, 43.6250624",jbecker,Representative location based on OpenStreetMap,amphitheatre,"{""type"": ""Point"", ""coordinates"": [12.9872573, 43.6250624]}",location-of-roman-amphitheater,precise,representative,300,-30,43.6250624,"43.6250624,12.9872573",12.9872573,,R,roman,"-30.0,300.0",OSM location of Anfiteatro romano di Suasa,amphitheatre,422820,Monte S. Angelo,426609,330,"amphitheatre,"
"Iversen RÃ¶nnlund, R., J. Becker, T. Elliott","22.11285, 38.958218, 22.11285, 38.958218",komponisto,"The possible location of the acropolis of Makra Kome, according to StÃ¤hlin (1924, 224) and BÃ©quignon (1937, 316).",acropolis,"{""type"": ""Point"", ""coordinates"": [22.11285, 38.958218]}",acropolis,precise,representative,-30,-330,38.958218,"38.958218,22.11285",22.11285,,H,hellenistic-republican,"-330.0,-30.0",Acropolis?,acropolis,,Artemisio?,"438,707,426,632",300,"acropolis,"
"Becker, J., E. Robinson","12.5385205, 42.5069802, 12.5385205, 42.5069802",jbecker,Representative point derived from an OpenStreetMap way,"aqueduct,","{""type"": ""Point"", ""coordinates"": [12.5385205, 42.5069802]}",osm-location,precise,representative,300,-30,42.5069802,"42.5069802,12.5385205",12.5385205,,R,roman,"-30.0,300.0",OSM location of Ponte Cardona,aqueduct,174900201,Palo,,330,"aqueduct,"
"Martinez, C., K. Khoury, A. Frazey, J. Doncaster, A. Rabinowitz","27.1838138889, 39.1321361111, 27.1838138889, 39.1321361111",cmartinez,"Representative location of the Library of Pergamum, derived from Google Earth satellite imagery compared with published architectural plans.","architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [27.18381388888889, 39.13213611111111]}",library-of-pergamum,precise,representative,-30,-330,39.13213611,"39.1321361111,27.1838138889",27.18381389,,H,hellenistic-republican,"-330.0,-30.0",Imagery location of Library of Pergamum,architecturalcomplex,,Monte Antenne,,300,"architecturalcomplex,"
"Becker, J.","14.1271269, 40.8266314, 14.1271269, 40.8266314",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [14.1271269, 40.8266314]}",osm-location-of-anfiteatro-minore,precise,representative,640,-30,40.8266314,"40.8266314,14.1271269",14.1271269,,R,roman-early-empire-late-antique,"-30.0,640.0",OSM location of Anfiteatro minore,amphitheatre,,Lago della Regina,,670,"amphitheatre,"
"Becker, J.","12.594868, 42.129831, 12.594868, 42.129831",jbecker,Verified in Google Earth 2013.,amphitheatre,"{""type"": ""Point"", ""coordinates"": [12.594868, 42.129831]}",location-of-lucus-feroniae-amphitheater,precise,representative,300,-30,42.129831,"42.129831,12.594868",12.594868,amphitheater,R,roman,"-30.0,300.0",Imagery location of Lucus Feroniae amphitheater,amphitheatre,587835546,Ardea,"438,710,438,775",330,"amphitheatre,"
"Becker, J.","12.5945422, 42.1296351, 12.5950948, 42.1300472",jbecker,Representative location based on OpenStreetMap.,amphitheatre,"{""type"": ""Polygon"", ""coordinates"": [[[12.5947845, 42.1296351], [12.5946884, 42.1296572], [12.5945862, 42.1297252], [12.5945422, 42.1298084], [12.5945491, 42.1298961], [12.5945911, 42.129961], [12.59467, 42.1300159], [12.5947468, 42.1300405], [12.5948263, 42.1300472], [12.5948791, 42.1300422], [12.5949666, 42.1300153], [12.5950015, 42.129996], [12.5950633, 42.1299385], [12.5950948, 42.1298636], [12.5950899, 42.1297955], [12.5950553, 42.1297322], [12.5949977, 42.1296825], [12.5949137, 42.1296463], [12.5947845, 42.1296351]]]}",osm-location-of-roman-amphitheatre,precise,representative,300,-30,42.12984105,"42.1298410484,12.5948182362",12.59481824,,R,roman,"-30.0,300.0",OSM location of Roman amphitheatre,amphitheatre,"356,966,898,670,733,000",Ariccia,,330,"amphitheatre,"
